,words,counts
1394,henry,28
1395,knowledgeable,28
1396,complimentary,27
1397,jenny,27
1398,n,27
1399,chatting,27
1400,trying,27
1401,discover,27
1402,worry,27
1403,readily,27
1404,sized,27
1405,negative,27
1406,apple,27
1407,buy,27
1408,de,27
1409,reading,27
1410,grab,27
1411,dakota,27
1412,entry,27
1413,relatively,27
1414,presidio,27
1415,yes,27
1416,manual,27
1417,replied,27
1418,total,27
1419,surrounded,27
1420,impeccably,27
1421,unforgettable,27
1422,cup,27
1423,pier,27
1424,unbelievable,27
1425,directly,27
1426,picture,27
1427,older,27
1428,saril,27
1429,lack,27
1430,coworkers,27
1431,hesitation,27
1432,personality,26
1433,cafés,26
1434,spread,26
1435,cheese,26
1436,familiar,26
1437,treats,26
1438,newly,26
1439,ladies,26
1440,slightly,26
1441,authentic,26
1442,netflix,26
1443,arrangements,26
1444,advance,26
1445,suited,26
1446,porch,26
1447,washing,26
1448,instantly,26
1449,brief,26
1450,china,26
1451,decent,26
1452,complaints,26
1453,join,26
1454,hold,26
1455,impressive,26
1456,neighbor,26
1457,seriously,26
1458,j,26
1459,effort,26
1460,iron,26
1461,highway,26
1462,surprisingly,26
1463,class,26
1464,shape,26
1465,emails,25
1466,buena,25
1467,anytime,25
1468,financial,25
1469,polite,25
1470,strong,25
1471,jada,25
1472,coast,25
1473,sort,25
1474,equipment,25
1475,word,25
1476,crash,25
1477,type,25
1478,spotlessly,25
1479,def,25
1480,essentials,25
1481,step,25
1482,bob,25
1483,lawrence,25
1484,reply,25
1485,per,25
1486,traveler,25
1487,kim,25
1488,interaction,25
1489,hustle,25
1490,folks,25
1491,bradford,25
1492,tram,25
1493,..,25
1494,hall,25
1495,box,25
1496,ronaldo,25
1497,period,25
1498,amazingly,25
1499,pressure,24
1500,wash,24
1501,selection,24
1502,11,24
1503,south,24
1504,action,24
1505,residence,24
1506,natasha,24
1507,social,24
1508,happier,24
1509,fishermans,24
1510,blast,24
1511,ceilings,24
1512,man,24
1513,ginger,24
1514,convention,24
1515,treated,24
1516,brother,24
1517,sharon,24
1518,goodies,24
1519,prime,24
1520,luise,24
1521,well-appointed,24
1522,dishes,24
1523,curtains,24
1524,charles,24
1525,terms,24
1526,telegraph,24
1527,lyft,24
1528,vista,24
1529,follow,24
1530,chair,24
1531,wi-fi,24
1532,lunch,24
1533,dark,24
1534,delayed,24
1535,heard,24
1536,cost,24
1537,difference,24
1538,opened,24
1539,flights,24
1540,drew,23
1541,remodeled,23
1542,started,23
1543,maker,23
1544,drop,23
1545,blankets,23
1546,etc.,23
1547,yoga,23
1548,funny,23
1549,uncomfortable,23
1550,inspiring,23
1551,christmas,23
1552,tom,23
1553,it’s,23
1554,jay,23
1555,pass,23
1556,boys,23
1557,notes,23
1558,seem,23
1559,walks,23
1560,cleaner,23
1561,keeping,23
1562,bottom,23
1563,anyway,23
1564,favourite,23
1565,similar,23
1566,prefer,23
1567,bottles,23
1568,shevi,23
1569,heading,23
1570,fire,23
1571,members,23
1572,fair,23
1573,claude,23
1574,lines,23
1575,homeless,23
1576,waking,23
1577,game,22
1578,particular,22
1579,success,22
1580,checkout,22
1581,biggest,22
1582,wall,22
1583,finish,22
1584,rare,22
1585,mix,22
1586,lombard,22
1587,towards,22
1588,thoughtfully,22
1589,direction,22
1590,quirky,22
1591,thinking,22
1592,planned,22
1593,highlights,22
1594,smile,22
1595,ideally,22
1596,upscale,22
1597,communicator,22
1598,comforts,22
1599,coordinate,22
1600,milk,22
1601,message,22
1602,jacuzzi,22
1603,navigate,22
1604,coolest,22
1605,anne,22
1606,didnt,22
1607,sad,22
1608,utensils,22
1609,loads,22
1610,forgot,21
1611,theresa,21
1612,maikee,21
1613,earplugs,21
1614,shows,21
1615,appears,21
1616,presented,21
1617,midnight,21
1618,fruits,21
1619,hilly,21
1620,sunday,21
1621,gone,21
1622,limited,21
1623,additionally,21
1624,fancy,21
1625,queries,21
1626,sunlight,21
1627,en,21
1628,introduced,21
1629,games,21
1630,brown,21
1631,saved,21
1632,museum,21
1633,chestnut,21
1634,haight-ashbury,21
1635,returned,21
1636,rate,21
1637,genuinely,21
1638,date,21
1639,opening,21
1640,actual,21
1641,pack,21
1642,somya,21
1643,reached,21
1644,pull,21
1645,ensuite,21
1646,tech,21
1647,organic,21
1648,bakeries,21
1649,ferry,21
1650,lively,21
1651,exquisite,21
1652,tricky,21
1653,photo,21
1654,painted,21
1655,looky,21
1656,manager,21
1657,showing,21
1658,woke,21
1659,summer,21
1660,usually,21
1661,playground,21
1662,well-equipped,21
1663,tartine,21
1664,speak,21
1665,among,21
1666,necessities,21
1667,moving,20
1668,perhaps,20
1669,suzanne,20
1670,locked,20
1671,mean,20
1672,persons,20
1673,gift,20
1674,crib,20
1675,thanksgiving,20
1676,audry,20
1677,grand,20
1678,required,20
1679,break,20
1680,wrong,20
1681,obviously,20
1682,save,20
1683,cookies,20
1684,gathering,20
1685,expensive,20
1686,washer/dryer,20
1687,placed,20
1688,ashbury,20
1689,whilst,20
1690,mari,20
1691,smell,20
1692,nima,20
1693,enter,20
1694,contacted,20
1695,requested,20
1696,regular,20
1697,delighted,20
1698,typical,20
1699,coleman,20
1700,bikes,20
1701,lastly,20
1702,overnight,20
1703,standard,20
1704,challenge,20
1705,pics,19
1706,well-stocked,19
1707,jonathan,19
1708,couches,19
1709,became,19
1710,adrian,19
1711,complaint,19
1712,nicole,19
1713,attached,19
1714,heaven,19
1715,pm,19
1716,traveller,19
1717,twice,19
1718,flying,19
1719,support,19
1720,delphine,19
1721,eggs,19
1722,combination,19
1723,heavy,19
1724,101,19
1725,cortland,19
1726,happened,19
1727,assistant,19
1728,alessandra,19
1729,links,19
1730,wide,19
1731,alternative,19
1732,walgreens,19
1733,ate,19
1734,concern,19
1735,stress,19
1736,numerous,19
1737,cons,19
1738,upper,19
1739,con,19
1740,code,19
1741,dirty,19
1742,moved,19
1743,suggested,19
1744,stated,19
1745,regularly,19
1746,touristy,19
1747,created,19
1748,frequently,19
1749,drinking,19
1750,hardly,19
1751,fix,19
1752,thumbs,19
1753,paid,19
1754,funky,19
1755,remember,19
1756,equally,19
1757,fog,18
1758,peace,18
1759,chef,18
1760,loves,18
1761,careful,18
1762,didn’t,18
1763,knowledgable,18
1764,co-workers,18
1765,example,18
1766,adequate,18
1767,personable,18
1768,employees,18
1769,promised,18
1770,brunch,18
1771,whiteboard,18
1772,turn,18
1773,supplied,18
1774,bill,18
1775,feet,18
1776,bowl,18
1777,pastries,18
1778,figure,18
1779,king,18
1780,kindness,18
1781,idea,18
1782,package,18
1783,reasons,18
1784,eye,18
1785,panoramic,18
1786,standards,18
1787,surroundings,18
1788,initial,18
1789,climb,18
1790,alan,18
1791,elisabeth,18
1792,concerned,18
1793,again.we,18
1794,nightlife,18
1795,held,18
1796,ran,18
1797,lady,18
1798,range,18
1799,interact,18
1800,conditioner,18
1801,pigeon,18
1802,famous,18
1803,noticed,18
